Pop/GDP,Ind/Tran/Build,AGLU,Fossil,Energy,CCS,LT Price,LUC Price,ST Price,Average Global Cost (%GDP),2100 Forcing
0,0,0,0,0,0,0,0,0,0.001420038,4.76655
1,0,0,0,0,0,0,0,0,0.001621478,4.70066
2,0,0,0,0,0,0,0,0,0.002308258,4.41605
3,0,0,0,0,0,0,0,0,0.001607213,4.34886
4,0,0,0,0,0,0,0,0,0.001055899,5.32722
0,1,0,0,0,0,0,0,0,0.001695972,5.32328
1,1,0,0,0,0,0,0,0,0.001892611,5.15171
2,1,0,0,0,0,0,0,0,0.002537989,4.66986
3,1,0,0,0,0,0,0,0,0.001813606,4.68904
4,1,0,0,0,0,0,0,0,0.001295798,6.12726
0,2,0,0,0,0,0,0,0,0.001909343,5.46488
1,2,0,0,0,0,0,0,0,0.002080213,5.23617
2,2,0,0,0,0,0,0,0,0.002644256,4.69916
3,2,0,0,0,0,0,0,0,0.001902053,4.72741
4,2,0,0,0,0,0,0,0,0.00151791,6.30524
0,3,0,0,0,0,0,0,0,0.001875073,5.42362
1,3,0,0,0,0,0,0,0,0.00203476,5.20625
2,3,0,0,0,0,0,0,0,0.002610789,4.68924
3,3,0,0,0,0,0,0,0,0.001846429,4.69507
4,3,0,0,0,0,0,0,0,0.001495409,6.26776
0,4,0,0,0,0,0,0,0,0.001663859,5.36371
1,4,0,0,0,0,0,0,0,0.001882803,5.20246
2,4,0,0,0,0,0,0,0,0.002543075,4.6991
3,4,0,0,0,0,0,0,0,0.001837643,4.74668
4,4,0,0,0,0,0,0,0,0.001259108,6.17312
0,0,1,0,0,0,0,0,0,0.001411092,5.03765
1,0,1,0,0,0,0,0,0,0.001617875,4.93921
2,0,1,0,0,0,0,0,0,0.002303816,4.6111
3,0,1,0,0,0,0,0,0,0.001575489,4.57115
4,0,1,0,0,0,0,0,0,0.001061747,5.62283
0,1,1,0,0,0,0,0,0,0.001707087,5.60098
1,1,1,0,0,0,0,0,0,0.001909688,5.3965
2,1,1,0,0,0,0,0,0,0.002559542,4.86753
3,1,1,0,0,0,0,0,0,0.001799433,4.91721
4,1,1,0,0,0,0,0,0,0.001305253,6.41735
0,2,1,0,0,0,0,0,0,0.001934231,5.74564
1,2,1,0,0,0,0,0,0,0.002111555,5.48028
2,2,1,0,0,0,0,0,0,0.002681576,4.8983
3,2,1,0,0,0,0,0,0,0.001897969,4.95597
4,2,1,0,0,0,0,0,0,0.001547842,6.58707
0,3,1,0,0,0,0,0,0,0.001902395,5.706
1,3,1,0,0,0,0,0,0,0.002066805,5.45054
2,3,1,0,0,0,0,0,0,0.002647551,4.88808
3,3,1,0,0,0,0,0,0,0.001839345,4.92362
4,3,1,0,0,0,0,0,0,0.001526238,6.55056
0,4,1,0,0,0,0,0,0,0.001669577,5.64042
1,4,1,0,0,0,0,0,0,0.00189384,5.44274
2,4,1,0,0,0,0,0,0,0.002557801,4.89567
3,4,1,0,0,0,0,0,0,0.001820796,4.97364
4,4,1,0,0,0,0,0,0,0.00126909,6.46872
0,0,2,0,0,0,0,0,0,0.001445017,5.49876
1,0,2,0,0,0,0,0,0,0.001661522,5.27239
2,0,2,0,0,0,0,0,0,0.002365313,4.83457
3,0,2,0,0,0,0,0,0,0.001595264,4.88575
4,0,2,0,0,0,0,0,0,0.001109664,6.14689
0,1,2,0,0,0,0,0,0,0.001761421,6.07013
1,1,2,0,0,0,0,0,0,0.001969183,5.73201
2,1,2,0,0,0,0,0,0,0.002639054,5.09425
3,1,2,0,0,0,0,0,0,0.001837962,5.23655
0,2,2,0,0,0,0,0,0,0.001992592,6.20512
1,2,2,0,0,0,0,0,0,0.00218302,5.81533
2,2,2,0,0,0,0,0,0,0.002770764,5.12543
3,2,2,0,0,0,0,0,0,0.001945812,5.2753
4,2,2,0,0,0,0,0,0,0.001633706,7.08473
0,3,2,0,0,0,0,0,0,0.001964005,6.16584
1,3,2,0,0,0,0,0,0,0.002138298,5.78472
2,3,2,0,0,0,0,0,0,0.002736569,5.11542
3,3,2,0,0,0,0,0,0,0.001884096,5.24323
4,3,2,0,0,0,0,0,0,0.001612505,7.04757
0,4,2,0,0,0,0,0,0,0.001716001,6.10131
1,4,2,0,0,0,0,0,0,0.001948835,5.77763
2,4,2,0,0,0,0,0,0,0.002631691,5.12114
3,4,2,0,0,0,0,0,0,0.001857471,5.29153
4,4,2,0,0,0,0,0,0,0.001323105,6.97934
0,0,3,0,0,0,0,0,0,0.001411537,4.98608
1,0,3,0,0,0,0,0,0,0.001620036,4.88922
2,0,3,0,0,0,0,0,0,0.002301135,4.55908
3,0,3,0,0,0,0,0,0,0.001579291,4.53192
4,0,3,0,0,0,0,0,0,0.001063603,5.58567
0,1,3,0,0,0,0,0,0,0.001707879,5.54997
1,1,3,0,0,0,0,0,0,0.001911207,5.34678
2,1,3,0,0,0,0,0,0,0.002554357,4.81585
3,1,3,0,0,0,0,0,0,0.001802911,4.87817
4,1,3,0,0,0,0,0,0,0.001308036,6.38099
0,2,3,0,0,0,0,0,0,0.001935444,5.695
1,2,3,0,0,0,0,0,0,0.002112272,5.43097
2,2,3,0,0,0,0,0,0,0.002674734,4.84661
3,2,3,0,0,0,0,0,0,0.001901246,4.91702
4,2,3,0,0,0,0,0,0,0.001550802,6.55105
0,3,3,0,0,0,0,0,0,0.001903465,5.65529
1,3,3,0,0,0,0,0,0,0.00206734,5.40111
2,3,3,0,0,0,0,0,0,0.002640626,4.83636
3,3,3,0,0,0,0,0,0,0.00184256,4.88461
4,3,3,0,0,0,0,0,0,0.001529085,6.51453
0,4,3,0,0,0,0,0,0,0.001670384,5.58929
1,4,3,0,0,0,0,0,0,0.001895771,5.39299
2,4,3,0,0,0,0,0,0,0.002553338,4.84405
3,4,3,0,0,0,0,0,0,0.001824378,4.93463
4,4,3,0,0,0,0,0,0,0.001271715,6.43217
0,0,4,0,0,0,0,0,0,0.001408662,5.00063
1,0,4,0,0,0,0,0,0,0.001612131,4.89701
2,0,4,0,0,0,0,0,0,0.002299096,4.5677
3,0,4,0,0,0,0,0,0,0.001590807,4.54567
4,0,4,0,0,0,0,0,0,0.001052142,5.56736
0,1,4,0,0,0,0,0,0,0.001690653,5.55756
1,1,4,0,0,0,0,0,0,0.001888894,5.3484
2,1,4,0,0,0,0,0,0,0.00253307,4.82176
3,1,4,0,0,0,0,0,0,0.001800381,4.8867
4,1,4,0,0,0,0,0,0,0.001294327,6.3621
0,2,4,0,0,0,0,0,0,0.001910047,5.69913
1,2,4,0,0,0,0,0,0,0.002080819,5.43235
2,2,4,0,0,0,0,0,0,0.002643163,4.85146
3,2,4,0,0,0,0,0,0,0.001891214,4.92502
4,2,4,0,0,0,0,0,0,0.001523272,6.53684
0,3,4,0,0,0,0,0,0,0.00187635,5.65846
1,3,4,0,0,0,0,0,0,0.002035949,5.40259
2,3,4,0,0,0,0,0,0,0.002609387,4.84142
3,3,4,0,0,0,0,0,0,0.001834817,4.89286
4,3,4,0,0,0,0,0,0,0.001500677,6.49999
0,4,4,0,0,0,0,0,0,0.001656529,5.59792
1,4,4,0,0,0,0,0,0,0.001877341,5.3974
2,4,4,0,0,0,0,0,0,0.002536603,4.85066
3,4,4,0,0,0,0,0,0,0.001824015,4.94399
4,4,4,0,0,0,0,0,0,0.001257683,6.41054
0,0,0,1,0,0,0,0,0,0.001451488,4.6805
1,0,0,1,0,0,0,0,0,0.001648619,4.62059
2,0,0,1,0,0,0,0,0,0.002344077,4.3603
3,0,0,1,0,0,0,0,0,0.001641412,4.28706
4,0,0,1,0,0,0,0,0,0.00107747,5.21283
0,1,0,1,0,0,0,0,0,0.001729398,5.22169
1,1,0,1,0,0,0,0,0,0.001920943,5.06271
2,1,0,1,0,0,0,0,0,0.002573371,4.61047
3,1,0,1,0,0,0,0,0,0.00184972,4.62026
4,1,0,1,0,0,0,0,0,0.001321562,5.9946
0,2,0,1,0,0,0,0,0,0.001945996,5.35036
1,2,0,1,0,0,0,0,0,0.002110353,5.13517
2,2,0,1,0,0,0,0,0,0.002680694,4.63685
3,2,0,1,0,0,0,0,0,0.001940123,4.65478
4,2,0,1,0,0,0,0,0,0.001542085,6.16995
0,3,0,1,0,0,0,0,0,0.001908138,5.31095
1,3,0,1,0,0,0,0,0,0.0020619,5.10753
2,3,0,1,0,0,0,0,0,0.002645847,4.62765
3,3,0,1,0,0,0,0,0,0.001882656,4.62485
4,3,0,1,0,0,0,0,0,0.001516242,6.13413
